index,table                 ,table_count,id        ,name                   ,shape
28   ,bazhoupois_hotel      ,7          ,B0FFHFPN6D,博雅丽景酒店                 ,"86.262893,41.338486;86.261715,41.346642;86.25405,41.34221;86.262204,41.347296;86.263647,41.345034;86.254904,41.346775;86.262892,41.346006;86.262893,41.338486"
29   ,bazhoupois_hotel      ,8          ,B03E400JY9,且末县玉都宾馆                ,"85.537017,38.146427;85.532662,38.146982;85.539743,38.141996;85.53809,38.141921;85.538304,38.136662;85.530303,38.134526;85.536598,38.143164;85.537017,38.146427"
30   ,bazhoupois_hotel      ,9          ,B03E400RCO,梨城花园酒店                 ,"86.157467,41.764661;86.15069,41.762465;86.149513,41.763603;86.156093,41.754601;86.150028,41.757146;86.150441,41.754995;86.157958,41.763376;86.158138,41.76179;86.156634,41.755627;86.157467,41.764661"
31   ,bazhoupois_hotel      ,10         ,B0FFFPSTAN,东归宾馆                   ,"86.395862,42.314652;86.405387,42.322718;86.405179,42.323497;86.397477,42.323469;86.395862,42.314652"
32   ,bazhoupois_hotel      ,11         ,B03E40085B,塔里木石油酒店                ,"86.153943,41.755694;86.158274,41.748052;86.151749,41.75044;86.159838,41.757104;86.15944,41.757746;86.159186,41.749078;86.158143,41.751152;86.159597,41.749894;86.15034,41.758228;86.15047,41.758428;86.160602,41.755774;86.152911,41.757436;86.161041,41.756714;86.153943,41.755694"
33   ,bazhoupois_hotel      ,12         ,B03E4009KQ,银环宾馆(文化路)              ,"86.142972,41.768831;86.144268,41.76162;86.143214,41.7694;86.145011,41.769417;86.142972,41.768831"
34   ,bazhoupois_hotel      ,13         ,B0FFH0L52R,如家派柏云酒店(库尔勒天山东路龙源万方大厦店),"86.159584,41.773313;86.159226,41.781266;86.155743,41.778271;86.160571,41.779741;86.159584,41.773313"
35   ,bazhoupois_hotel      ,14         ,B0FFFV54N3,金砖快捷宾馆                 ,"86.162988,41.781604;86.156227,41.786751;86.156176,41.78869;86.155386,41.779551;86.162988,41.781604"
36   ,bazhoupois_hotel      ,15         ,B0FFHLYI3V,丝路楼兰酒店                 ,"86.140301,41.7623;86.142721,41.769694;86.135756,41.769102;86.135188,41.771888;86.140301,41.7623"
37   ,bazhoupois_hotel      ,16         ,B03E400ETH,银星大酒店                  ,"86.156752,41.76168;86.15609,41.759751;86.156025,41.767643;86.157655,41.759015;86.157237,41.759015;86.158371,41.766909;86.158371,41.759161;86.150493,41.768641;86.157997,41.760817;86.157322,41.760449;86.156752,41.76168"
38   ,bazhoupois_hotel      ,17         ,B0FFI9FMON,金泰酒店                   ,"86.182708,41.74711;86.189669,41.747112;86.188871,41.747282;86.183858,41.745724;86.191634,41.747828;86.182708,41.74711"
39   ,bazhoupois_hotel      ,18         ,B03E40ME3R,永徽酒店                   ,"86.179719,41.745043;86.182656,41.737331;86.189951,41.739297;86.189725,41.743989;86.187753,41.745035;86.187075,41.744363;86.179719,41.745043"
40   ,bazhoupois_hotel      ,19         ,B0FFFHB7PO,悦华快捷宾馆                 ,"86.141332,42.244896;86.139608,42.24734;86.140354,42.253146;86.140534,42.254003;86.134212,42.246526;86.13982,42.25199;86.141332,42.244896"
41   ,bazhoupois_hotel      ,20         ,B03E400ESP,新丽华酒店                  ,"86.144147,41.773471;86.141985,41.766753;86.141059,41.766339;86.142259,41.772893;86.141938,41.775357;86.143622,41.774321;86.144253,41.774431;86.144147,41.773471"
42   ,bazhoupois_hotel      ,21         ,B0FFG7GWML,爱派酒店(和静店)              ,"86.399858,42.31455;86.39907,42.315767;86.389793,42.314132;86.399281,42.316721;86.397145,42.314869;86.396987,42.308194;86.391598,42.315951;86.399858,42.31455"
43   ,bazhoupois_hotel      ,22         ,B03E400EQD,天鸿酒店(天山东路)             ,"86.15201,41.771881;86.161504,41.781031;86.15286,41.772139;86.159693,41.772087;86.153682,41.780935;86.157706,41.771673;86.15201,41.771881"
44   ,bazhoupois_hotel      ,23         ,B0FFGCOICR,金发宾馆                   ,"86.232968,41.708729;86.224815,41.715502;86.224815,41.707544;86.231473,41.706939;86.232612,41.707737;86.232662,41.71354;86.232968,41.708729"
